Id,semester,Classroom,,,
THEA232,S18,DAC-135,,,
CHIN101,S18,TBD,,,
CHIN205,S18,CL1-04,,,
ESL098,S18, LIB-LSR,,,
FREN101,S18,TBD,,,
FREN205,S18,LIE-02,,,
GERM101,S18,TBD,,,
GERM205,S18, LIE-DS,,,
LATN101,S18,TBD,,,
LATN205,S18,CL3-09,,,
SPAN101A,S18,TBD,,,
SPAN101B,S18,TBD,,,
SPAN204,S18,LIE-02,,,
SPAN205,S18,CL1-01,,,
SPAN211,S18,LIE-02,,,
